time,open,high,low,close,tick_volume,spread,real_volume
2025-09-02 05:00:00,109920.000000,110250.000000,109760.000000,110170.000000,1575,4000,0
2025-09-02 05:30:00,110160.000000,110910.000000,110070.000000,110890.000000,1590,4000,0
2025-09-02 06:00:00,110855.000000,111225.000000,110680.000000,110790.000000,2055,4000,0
2025-09-02 06:30:00,110800.000000,111145.000000,110750.000000,110945.000000,1206,4000,0
2025-09-02 07:00:00,110940.000000,111075.000000,110850.000000,110955.000000,893,4000,0
2025-09-02 07:30:00,110955.000000,111010.000000,110785.000000,110930.000000,958,4000,0
2025-09-02 08:00:00,110940.000000,110965.000000,110630.000000,110780.000000,1262,4000,0
2025-09-02 08:30:00,110780.000000,110965.000000,110740.000000,110835.000000,1054,4000,0
2025-09-02 09:00:00,110840.000000,111180.000000,110800.000000,111105.000000,1372,3500,0
2025-09-02 09:30:00,111095.000000,111295.000000,111005.000000,111030.000000,1641,4000,0
2025-09-02 10:00:00,111040.000000,111060.000000,110795.000000,110885.000000,1757,3500,0
2025-09-02 10:30:00,110880.000000,111040.000000,110590.000000,110845.000000,2421,4000,0
2025-09-02 11:00:00,110845.000000,110990.000000,110685.000000,110925.000000,2112,4000,0
2025-09-02 11:30:00,110925.000000,111380.000000,110745.000000,111020.000000,1709,4000,0
2025-09-02 12:00:00,111020.000000,111345.000000,110910.000000,110950.000000,1353,4000,0
2025-09-02 12:30:00,110945.000000,111135.000000,110870.000000,111125.000000,1235,4000,0
2025-09-02 13:00:00,111130.000000,111150.000000,110835.000000,110880.000000,1196,3500,0
2025-09-02 13:30:00,110880.000000,110960.000000,110730.000000,110880.000000,1616,3500,0
2025-09-02 14:00:00,110880.000000,110890.000000,110500.000000,110520.000000,1543,3000,0
2025-09-02 14:30:00,110525.000000,110610.000000,110215.000000,110375.000000,1626,3000,0
2025-09-02 15:00:00,110365.000000,110490.000000,109880.000000,110050.000000,3000,3500,0
2025-09-02 15:30:00,110055.000000,110095.000000,109000.000000,109415.000000,3943,1500,0
2025-09-02 16:00:00,109425.000000,110180.000000,109340.000000,109985.000000,3744,4000,0
2025-09-02 16:30:00,109975.000000,111895.000000,109630.000000,111810.000000,7648,3500,0
2025-09-02 17:00:00,111795.000000,112175.000000,111410.000000,112110.000000,6538,4000,0
2025-09-02 17:30:00,112110.000000,112430.000000,111735.000000,111975.000000,5263,4000,0
2025-09-02 18:00:00,111970.000000,112190.000000,111565.000000,111920.000000,4484,3500,0
2025-09-02 18:30:00,111915.000000,111935.000000,111240.000000,111470.000000,4298,3500,0
2025-09-02 19:00:00,111465.000000,111790.000000,111080.000000,111105.000000,4065,4000,0
2025-09-02 19:30:00,111115.000000,111460.000000,111100.000000,111420.000000,3269,3500,0
2025-09-02 20:00:00,111410.000000,111595.000000,111215.000000,111485.000000,3022,4000,0
2025-09-02 20:30:00,111490.000000,111690.000000,111295.000000,111510.000000,3000,3500,0
2025-09-02 21:00:00,111510.000000,111570.000000,110975.000000,111070.000000,2923,3000,0
